"V1","V2","V3"
0.0600176236188322,0.440584898211155,0.499397478170043
0.349309607052491,0.311745792941495,0.338944600007387
0.0696015104212068,0.290731459400965,0.639667030177032
0.559637860117387,0.102516642414037,0.337845497468547
0.19022266002626,0.275391273686057,0.534386066289632
0.0697380685458111,0.57790969879848,0.352352232656042
0.36004198559717,0.0754320113473522,0.564526003055689
0.483264643164265,0.0679056279728396,0.448829728863038
0.231146941247105,0.113744212858643,0.655108845894025
0.329713491614192,0.222235627844468,0.448050880539525
0.188270138621799,0.422838775764597,0.388891085612511
