"branch","nested1","nested2","shared1","shared2","shared3","shared4","shared5","shared6"
0,0.712851525446154,0,0.933574435313802,0.739912926721556,0.0597424160221267,0.980893108353719,0.463214532172086,0.79586276271002
0,0.395417526935623,0.0569709515109414,0.662744730396153,0.110162432668652,0.800330378159123,0.748979861153412,0.298524655512699,0.914815364257607
0,0.47460316872311,0.408739916532028,0.521012336341594,0.657825827986587,0.548112690659245,0.910186087190254,0.0141338137722684,0.320892414945749
0,0.322152550123058,0.559557465682278,0.823779066827345,0.344429922871863,0.970995991603255,1,0.585281899861826,0.49759136271374
0,1,0.468575613831843,0.19384595547718,0.859347432990637,0.236275858072839,0.835617605037101,0.889906890468495,0.174020084784041
0,0.531853163228414,0.81428123471236,0.225062850485359,0.815048410418259,0.987231706716292,0.396841301682635,0.433115610607901,0.950483147991307
0,0.876057116146377,0.613854343276797,0.987125238565266,0.534807435188651,0.725090002141841,0.461580529665145,0.0474312975305056,0.678176459670188
0,0.1954065324877,1,0.104707676019569,0.264187371943576,0.787604596842559,0.237519642469828,0.0256525228451805,0.147683307353615
0,0,0.114221049149788,0.976418065640039,0.389579873565128,0.179589758945236,0.0548851344582156,0.232232723856344,0.255387118768998
0,0.661775411157232,0.95119561205196,0,0.706128640856555,0.64604070707325,0.0167602861131753,0.671190856873094,0.46577350563519
0,0.763071300538264,0.734819560540562,0.734590219959228,0,0.275387452188849,0.0810330725399351,0.561216991736787,0.973297675658039
0,0.101946907356126,0.345150009002574,0.483178973116431,0.924423379324,0.868734381421784,0.107831653293361,0.861800102066887,0.840441280582432
0,0.248654228388223,0.221202885490534,0.0106187071455295,0.566497903700262,0.329449427336891,0.625957334860103,0.497858773299636,0
0,0.0374336340228592,0.872952911214064,0.451784633196507,0.0545344968658728,0.116975093083341,0.96393583235807,0.681752614310909,0.0593095630111215
0,0.932377691209993,0.159522007972128,0.343142289648459,0.0689349209853115,0.565357751906879,0.246170577223882,0.969573119178658,0.548174032971767
1,NA,NA,1,0.0261245254422667,0.423307425260335,0.586826646298976,0.379467129557035,0.3920852554143
1,NA,NA,0.147613108457506,0.976191877115858,0.398228736527737,0,0.0778551234739107,0.642286339035541
1,NA,NA,0.566139541504641,0.784459264534365,0.0365879724587114,0.183955275826512,0.105902767980611,0.0025118134553307
1,NA,NA,0.274254611288879,0.218344083818213,1,0.0276905652892746,0.334276726056185,0.0657178177307608
1,NA,NA,0.950401032928108,0.301038744496616,0.65371841970613,0.718997746542118,1,0.018809629216286
1,NA,NA,0.605504153032975,0.502989437593964,0.938226665527482,0.532967868344161,0.928418606181046,0.214946700215511
1,NA,NA,0.0983214031185,0.0154988717492565,0.912267590444946,0.875840626391484,0.767242135883266,0.73318127317125
1,NA,NA,0.301766538164101,0.433748937179216,0,0.789151286085969,0.269043597026235,0.570713439353938
1,NA,NA,0.887636314543905,0.618719980331856,0.0158341849178479,0.298859796527409,0.980078511917211,0.883440941675209
1,NA,NA,0.418377376161366,0.182378505337278,0.455677540821432,0.361417193315209,0.151185510035265,0.988938951069406
1,NA,NA,0.680728908852846,1,0.136475267153613,0.450022797453,0.744046226250046,0.439746998511707
1,NA,NA,0.0482388124243001,0.149697874388336,0.0678893966463675,0.138188390184202,0.825022552124139,0.299882641821272
1,NA,NA,0.872718164905939,0.989869283259619,0.863517419200019,0.938550649036232,0.212497345602313,0.102986137357755
1,NA,NA,0.036265592615945,0.956348191918461,0.50205857808059,0.994702187138119,0.959856228397681,1
1,NA,NA,0.777240073349251,0.885773958125127,0.248415432924033,0.681625725083939,0,0.769977797067439
