"D3","D4","D5"
0.0446803970629838,0.026309729733553,0
0.14357439635756,0.128837734515059,0.109508907708022
0.245375878741731,0.234920327597456,0.221081379527775
0.347226055995509,0.340953826849833,0.33264917625751
0.449074846272124,0.44698499779548,0.444216452098143
0.550925153727879,0.553015002238909,0.555783547901856
0.652773944004497,0.659046173181141,0.667350823742489
0.754624121258272,0.765079672426306,0.778918620472225
0.856425603642442,0.871162265501095,0.890491092291978
0.955319602937018,0.973690270271177,1
