"ini.1","ini.2"
0,0.64986387898933
0.0413478032950113,0.192751722052331
0.081403336205018,0.918596663794982
0.136525520664399,0.47366578046307
0.192751722052331,0.0413478032950113
0.239355400617827,0.760644599382173
0.302198555346345,0.302198555346345
0.350136121010671,1
0.413662837285468,0.586337162714532
0.47366578046307,0.136525520664399
0.52633421953693,0.863474479335601
0.586337162714532,0.413662837285468
0.649863878989329,0
0.697801444653655,0.697801444653655
0.760644599382173,0.239355400617827
0.807248277947669,0.958652196704989
0.863474479335601,0.52633421953693
0.918596663794982,0.081403336205018
0.958652196704989,0.807248277947669
1,0.350136121010671
