"D.1","D.2","D.3"
0.838360736893833,0.706027672504063,0.125
0.194446395539449,0.464354219696409,0.127241485542174
0.523870550185498,0.114729693511646,0.129523165143834
0.303734505866518,0.829672238943463,0.131845759560206
0.692124000957371,0.53166079564963,0.134210002471015
0.0522328800619789,0.265628141101682,0.136616640712246
0.909191618458283,0.875308245830323,0.139066434512061
0.353588489257921,0.048421416966818,0.141560157730944
0.10775221539774,0.636455517106718,0.144098598106159
0.57362392940399,0.394831278584859,0.146682557500578
0.935357139254868,0.141906822995859,0.149312852155991
0.493305695042328,0.784557331095981,0.151990312950938
0.0269456818416004,0.918554395311248,0.154715785663179
0.421166379951447,0.213090891640407,0.157490131236859
0.747278212891087,0.657862771180225,0.160314226054479
0.635543666588577,0.0165303612608828,0.163188962213726
0.375337690944577,0.970541616607148,0.166115247809282
0.168798707699152,0.163642627990492,0.169094007219675
1,0.347500009017207,0.172126181399284
0.278769244214814,0.557263360681517,0.175212728175572
0.827880169861007,0.0919534096906864,0.178354622551655
0.593157511974294,0.845320048685007,0.181552857014291
0.00863863660447774,0.425345519148202,0.184808441847394
0.976518664751946,0.730785329967185,0.188122405451175
0.713555879537741,0.254930878716435,0.191495794666997
0.876386752446861,0.98330349210965,0.194929675108062
0.468750229301643,0.503435681439024,0.198425131496025
0.0722016765303895,0.0728865802094619,0.201983268003643
0.236524360172837,0.758687508835994,0.205605208603573
0.921920937127511,0.583888975326562,0.209292097423417
0.672044278997264,0.927094786835204,0.213045099107144
0.141219619274726,0.331434523191455,0.216865399182981
0.781373008510663,0.447111257898166,0.220754204437912
0.20822863887888,0,0.224712743298885
0.958301555358343,0.228324854530184,0.228742266220859
0.620850217683594,0.627403583357064,0.232844046081804
0.122098196612396,0.950749864430753,0.237019378584793
0.503514904945304,0.290803117511439,0.241269582667296
0.816925723478162,0.822855735226184,0.245596000917816
0.684527478773354,0.129545674574081,0.25
0.346653176447487,0.691814001839859,0.254482971084348
0.0218326015083474,0.194601513900381,0.259046330287668
0.867602912047019,0.383746244471815,0.263691519120412
0.538972407433811,0.886934490562433,0.26842000494203
0.292101169583645,0.0999921937627201,0.273233281424492
0.0822793611567456,0.539883322288834,0.278132869024122
0.756721478247744,1,0.283120315461889
0.397679937230578,0.357006272342124,0.288197196212317
0.79993325852119,0.00544498186279829,0.293365115001157
0.176118938016512,0.807249698139417,0.298625704311983
0.562333255821782,0.176545777040213,0.303980625901877
0.99091748199784,0.913814481307537,0.309431571326357
0.650710401103642,0.472715048890019,0.314980262473718
0.036614902274394,0.740632985032679,0.320628452108958
0.225748244656033,0.235915305927302,0.326377924427452
0.887200240628519,0.676006853385617,0.332230495618563
0.316811357609695,0.597376788402405,0.338188014439349
0.739423862533315,0.320036961331619,0.344252362798567
0.610030287090682,0.962848995414054,0.350425456351145
0.487402473819794,0.0348722409395674,0.356709245103311
0.968597892301169,0.51345612073593,0.363105714028581
0.41159313841994,0.858121259695762,0.369616883694787
