"D1","D2","D3","D4"
0,0.993844170297569,0.0446803970629838,0.026309729733553
0.111111111111111,0.945503262094184,0.14357439635756,0.128837734515059
0.222222222222222,0.853553390593274,0.245375878741731,0.234920327597456
0.333333333333333,0.726995249869773,0.347226055995509,0.340953826849833
0.444444444444444,0.578217232520115,0.449074846272124,0.44698499779548
0.555555555555556,0.421782767479884,0.550925153727879,0.553015002238909
0.666666666666667,0.273004750130227,0.652773944004497,0.659046173181141
0.777777777777778,0.146446609406726,0.754624121258272,0.765079672426306
0.888888888888889,0.0544967379058161,0.856425603642442,0.871162265501095
1,0.00615582970243117,0.955319602937018,0.973690270271177
