"R.1","R.2","S.1","S.2","D.1","D.2"
0.606268297648057,0.957992534851655,0.0448649264872074,0.579187273979187,0.274632872435237,0.725563942078901
0.93764197290875,0.828625058988109,0.54486495256424,0.0791872516274452,0.374573622177114,0.974842587571783
0.264352067606524,0.119278803002089,0.79486495256424,0.829187273979187,0.625287017152949,0.674713591244897
0.380093919346109,0.240340991178527,0.294864922761917,0.329187244176865,0.474742287158053,0.175660051610995
0.807483389042318,0.743188487831503,0.91986495256424,0.454187244176865,0.0749480285547092,0.27469377370968
0.978075725259259,0.315797621617094,0.419864922761917,0.954187273979187,0.325644201043453,0.375024005742917
0.957933716475964,0.356225434923545,0.66986495256424,0.704187273979187,0.923962840097007,0.424240658403177
0.762731856433675,0.914359879679978,0.169864922761917,0.204187244176865,0.725481905886263,0.523966365190905
0.509648534934968,0.274401541100815,0.357364922761917,0.641687273979187,0.224781621454081,0.124174672482797
0.0644767952617258,0.433338072383776,0.85736495256424,0.141687244176865,0.0248720762076361,0.625421426153934
0.643572765169665,0.521773493150249,0.107364922761917,0.391687244176865,0.825131237900904,0.225000075131255
0.915908884257078,0.126169137191027,0.60736495256424,0.891687273979187,0.425329770859518,0.574879918159755
0.0952325807884336,0.956151891965419,0.232364922761917,0.766687273979187,0.575587398361345,0.325277617978155
0.295372802997008,0.760002784896642,0.73236495256424,0.266687244176865,0.774614908485425,0.924829502449316
0.76993169891648,0.136895708739758,0.98236495256424,0.516687273979187,0.524637004911203,0.825438590719892
0.255893525900319,0.930865071713924,0.482364922761917,0.0166872479021549,0.875357426606308,0.774297550000889
0.517895726021379,0.386182860704139,0.388614922761917,0.485437244176865,0.125274147664884,0.874888347150005
0.67784993047826,0.0592230462934822,0.88861495256424,0.985437273979187,0.674421865803853,0.075551140274531
0.147227819310501,0.986357388785109,0.138614922761917,0.735437273979187,0.175122640958471,0.476311943535636
0.700526044936851,0.766906925244257,0.63861495256424,0.235437244176865,0.975597126281587,0.0252242404105793
