"D1","D2","D3","D4"
0,0.292237688524746,0.658432533073778,0.417857594755616
0.0492795477746699,0.939166504159845,0.393907255200887,0.217148335190775
0.0735634693932247,0.136143610165484,0.895668996088291,0.949710248879958
0.124775174850737,0.490648519354152,0.184309697952177,0.759250959421854
0.180822059106511,0.722690168978549,0.841291594071493,0.0733778044749709
0.246977930496159,0.0436839058088251,0.500694740076915,0.644559127666752
0.287586468262059,0.821663056123987,0.0277675572315527,0.365787070790897
0.328994294938128,0.978489432759831,1,0.830876446678848
0.399709404637414,0.168498222453761,0.284935153070071,0.120464825367595
0.464073742277173,0.769998784897229,0.592208085883346,1
0.531969678178517,0.44176933545188,0.941054877874111,0.532144432482585
0.608064312035583,0.645309178846509,0.127823217112003,0
0.650264573329851,0,0.779121125942976,0.291991864842465
0.702988630802932,0.332678054863874,0.41599743846248,0.864611529691657
0.779920728845412,1,0.237134768607624,0.476583946796158
0.861747158910052,0.578926751868053,0,0.963871794919945
0.887883437777778,0.0951336637722592,0.990676104028466,0.0200519953440304
0.919720660798552,0.872556615674856,0.74360035455218,0.699785608811434
0.969647642651632,0.518668057849958,0.546177254855037,0.170463011737302
1,0.214997852847608,0.0854319411920022,0.58306378703721
0.998964250087738,0.929908514022827,0.532640039920807,0.933717668056488
0.00379837420769036,0.0197084881365299,0.0893915668129921,0.699701488018036
0.00162437395192683,0.97518515586853,0.0177348889410496,0.198929116129875
0.422181516885757,0.00271752802655101,0.675514876842499,0.988448798656464
0.524069786071777,0.994275033473969,0.118864730000496,0.259709388017654
0.991609692573547,0.00764801539480686,0.774954319000244,0.698582470417023
0.109193064272404,0.0138541664928198,0.0587082430720329,0.0838129371404648
0.00855075754225254,0.654577136039734,0.953214287757874,0.962586224079132
0.921085000038147,0.00120885926298797,0.108443394303322,0.794006705284119
0.92799323797226,0.999310791492462,0.0305488128215075,0.0489517971873283
