"all.1","all.2"
0.683777856568154,0.865365254272015
0.216786525329298,0.450747551247433
0.464073182253989,0.0680276269733044
0.753613234935845,0.86042670774379
0.776894332397429,0.0739470063529327
0.609247209526098,0.787031496466363
0.733901624986101,0.116868793008837
0.0774949528575968,0.252377299944293
0.445393332591045,0.475215777868039
0.345827800999444,0.58909728245656
0.515377199521773,0.380289709748621
0.0852243508824147,0.551329085946979
0.899557402139893,0.73353258457134
0.574408877553763,0.472066983991356
0.913306895378088,0.192121196067836
0.613230692879218,0.655895597244839
0.737363928527953,0.689607254712649
0.860346902762756,0.837215191872709
0.418356204803961,0.947124224003626
0.746419093870195,0.846531601366119
0.0491821432125289,0.0482818069702433
0.226813697144608,0.742141345009759
0.643751216850746,0.337692475375249
0.26598544336665,0.859040212331638
0.17061196827993,0.343909728344404
0.667024463301655,0.149456350961914
0.164300376420033,0.057897579998814
0.161935605848932,0.184543971810061
0.901082415439072,0.0889532037908584
0.677845372901359,0.813840221206667
0.917308795579611,0.673471626288092
0.267843838066724,0.898516004409338
0.711813094330889,0.113239321029717
0.757407244862497,0.709229834287113
0.37170118796617,0.965014542016066
0.688290457380242,0.328884728400609
0.608775817016601,0.565868200409908
0.206251628412218,0.847109061446174
0.444096605763878,0.990245727070498
0.94756477661727,0.285180259406515
0.162475401201111,0.681129213458176
0.612220298376752,0.0240826682676771
0.396184433148494,0.822720303980475
0.962183730618155,0.991180053512552
0.524379147002983,0.365213729185991
0.334555829937975,0.780805360987682
0.749934869013391,0.769032132741131
0.46029868589269,0.499932379772088
0.570649966602544,0.825507491018749
0.952505475887055,0.0908455916252965
0.611142965561675,0.459895265584413
0.977736205643257,0.893188431222599
0.0288289927986776,0.250259749574757
0.558715545688837,0.778963022887656
0.955846047686827,0.709107750856888
0.185139527870365,0.834484419778909
0.0197785991218034,0.513357741972234
0.504167180027608,0.0141852823698986
0.11806366365874,0.398165421029341
0.652893011118746,0.295664851637792
0.174207033333718,0.999107952303083
0.482076697416687,0.801485611103876
0.472866280479541,0.953851160984184
0.0232861110351677,0.913957576769588
0.0735807628820487,0.185092163788781
0.0738699759885017,0.991482015525403
0.916768452382449,0.355632646204939
0.275520483149849,0.59460188184798
0.103475791584842,0.496779191216072
0.195522234294012,0.66190179790816
0.456460805852704,0.937465982158182
0.941592463661896,0.254175565432112
0.361207203269817,0.446037188606972
0.40705794570535,0.566750862570724
0.546332260453326,0.621365341248738
0.944226729985983,0.647565579059012
0.811695537427193,0.909799311527787
0.1984546037437,0.648355810627295
0.457426206192137,0.964527557391429
0.281031375327595,0.868794911458434
0.298395811808167,0.777506243020087
0.149681338071984,0.907920205422039
0.473065145053992,0.351733093800759
0.510910935759498,0.872705046479669
0.299740308078113,0.463433000824961
0.576028676768439,0.725352602344079
0.879812376504797,0.0364855775384745
0.572628431910151,0.216306736794803
0.112808942450178,0.325527654704819
0.997638969630608,0.496570488652887
0.0744734439155622,0.159948178384835
