"D1","y1","D2","y2"
0,-0.0840855480786298,0,-0.0840855480786298
0.111111111111111,-0.0022771248131612,0.04,0.388847287501676
0.222222222222222,0.536372310782023,0.13,-0.529661360687698
0.333333333333333,-0.481430661019998,0.26,1.01962273878021
0.444444444444444,0.656651225814298,0.416666666666667,0.524755198381349
0.555555555555556,0.10716634885523,0.583333333333333,0.218343144015873
0.666666666666667,0.468734490643896,0.74,0.442273055228103
0.777777777777778,0.507259634526536,0.87,0.724963120074635
0.888888888888889,0.77415584824633,0.96,0.864430096098528
1,1.01381082248039,1,1.01381082248039
0,0.122763034385346,0,0.122763034385346
0.111111111111111,-0.220891004626302,0.04,0.170233407688535
0.222222222222222,0.553882237042051,0.13,-0.51215143442767
0.333333333333333,-0.504198373273419,0.26,0.996855026526786
0.444444444444444,0.378331134556269,0.416666666666667,0.24643510712332
0.555555555555556,0.153558532945713,0.583333333333333,0.264735328106355
0.666666666666667,0.456219819689298,0.74,0.429758384273505
0.777777777777778,0.352400089769806,0.87,0.570103575317905
0.888888888888889,0.826814937326615,0.96,0.917089185178812
1,0.974064459326575,1,0.974064459326575
