"D1","y1","D2","y2"
0,-0.0840855480786298,0,-0.196328141207087
0.111111111111111,-0.0022771248131612,0.04,0.280728261306168
0.222222222222222,0.536372310782023,0.13,-0.342735802027772
0.333333333333333,-0.481430661019998,0.26,1.0874762179143
0.444444444444444,0.656651225814298,0.416666666666667,0.35103736246001
0.555555555555556,0.10716634885523,0.583333333333333,0.350328768633246
0.666666666666667,0.468734490643896,0.74,0.597401529602058
0.777777777777778,0.507259634526536,0.87,0.776139969272314
0.888888888888889,0.77415584824633,0.96,0.965971301862567
1,1.01381082248039,1,1.02099455636292
0,0.122763034385346,0,0.0987313402828456
0.111111111111111,-0.220891004626302,0.04,0.0987674338331219
0.222222222222222,0.553882237042051,0.13,-0.405948152901896
0.333333333333333,-0.504198373273419,0.26,0.953670634387971
0.444444444444444,0.378331134556269,0.416666666666667,0.374236700242457
0.555555555555556,0.153558532945713,0.583333333333333,0.323848198551723
0.666666666666667,0.456219819689298,0.74,0.556094955979324
0.777777777777778,0.352400089769806,0.87,0.735802542521194
0.888888888888889,0.826814937326615,0.96,0.895520300611832
1,0.974064459326575,1,1.05519954663334
