"D","y"
0,-0.0840855480786298
0.04,0.388847287501676
0.13,-0.529661360687698
0.26,1.01962273878021
0.416666666666667,0.524755198381349
0.583333333333333,0.218343144015873
0.74,0.442273055228103
0.87,0.724963120074635
0.96,0.864430096098528
1,1.01381082248039
0,0.122763034385346
0.04,0.170233407688535
0.13,-0.51215143442767
0.26,0.996855026526786
0.416666666666667,0.24643510712332
0.583333333333333,0.264735328106355
0.74,0.429758384273505
0.87,0.570103575317905
0.96,0.917089185178812
1,0.974064459326575
