"V1","V2"
0.05,0.55
0.15,0.15
0.25,0.75
0.35,0.35
0.45,0.95
0.55,0.05
0.65,0.65
0.75,0.25
0.85,0.85
0.95,0.45
0,0.322371741652176
0.321792280138895,0.0260300733478456
0.0602944050614835,0
0.00073966990655374,0.118984969144522
0.0255115999870375,0.216368400588148
0.189282744628731,0.00142695742676441
0.0939373808431239,0.0791884649865923
3.80152924629399e-05,0.0330247557852222
0.120760904526226,0.00201911480912465
0.0669716142006873,0.140418604350026
0.0384668526106995,0.0700073474837796
0,0.0707744575945005
0.161312365413056,0.0652570492194204
0.0531568866473427,0.104366471352039
0.0795664910686206,0.0376576317446996
0.0231825605223613,0
0.0460511086828045,0.0385615013508403
0.107637216487353,0.0466792636739351
0.0911285882013103,0.0117337430268823
0.343218085149432,0.554004468667494
0.0621952327424345,0.0547711550987504
0.250654669786045,0.2423649599292
0.0795438125266673,0.109164571379172
0.0118217720742889,0.0942748177523682
0.0156121434429581,0.0520363098586779
0.229876298124762,0.105948627878382
0.250146146552272,0.0331085374832738
0.0200388139461954,0.0746409082163844
0.323088733887583,0.144882327241871
0.120625786489057,0.277929403610123
0.000266403990321929,0.00962534978214041
0,0.781956855338255
0.0442910125113777,0.0134439775000726
0.026151803527391,0.0252515598307687
0.0625486516456365,0.0192201064361539
0.0944937735601091,0.205494216486711
0.0417097887298076,0.417268648896112
0.184136052462898,0.212731522391722
0.00210597244559886,0.165447794301857
0.154912186242283,0.00678739540510526
